,total_rewards
468,-163.88265059515834
469,-106.27148983534425
470,-70.90195679292083
471,-205.64561851136386
472,-164.1629703952931
473,-75.34933826327324
474,-152.35453283041716
475,-176.39054243825376
476,-72.4471521358937
477,-248.5109864473343
478,-425.37456960976124
479,-178.85205469233915
480,-90.81140624545515
481,27.679967749863863
482,-341.7445857152343
483,46.05102127045393
484,-116.34381303191185
485,-116.2767741996795
486,-177.7090478055179
487,-149.9537330311723
488,-180.79741148184985
489,-260.76764954067767
490,-133.05671060457826
491,-214.22558387368917
492,-437.67933966964483
493,-89.34171213209629
494,-126.9104942586273
495,-189.10906941373833
496,-174.29381952341646
497,-212.20340058207512
498,-126.65099048614502
499,-98.63486457258114
500,-119.04713648185134
501,-119.28985428251326
502,-93.00076016783714
503,-24.660913096740842
504,-70.52985513955355
505,-309.59449856635183
506,-90.00752378627658
507,-123.8631889950484
508,-171.41837821528316
509,-114.44263176620007
510,-166.45458279829472
511,-257.78619974665344
512,-133.75158090144396
513,-172.33206491917372
514,-206.42499943077564
515,-59.92382089421153
516,-135.25292411539704
517,-110.94619060307741
518,-212.52646340429783
519,-43.53837603610009
520,-121.27371640503407
521,-199.56964176520705
522,-98.03827495872974
523,-119.77080024965107
524,-107.99920950084925
525,-110.4686560947448
526,-157.11378089897335
527,-46.20836694538593
528,-122.12062191218138
529,-117.56137737305835
530,-100.15511520206928
531,-261.177267704159
532,-196.23993010818958
533,-257.7705029435456
534,-354.22537215054035
535,-242.7284572571516
536,-20.3792504388839
537,-124.96013215184212
538,-111.58517242409289
539,-174.25283602625132
540,-184.18727519363165
541,-146.61995143815875
542,-211.29041727259755
543,-118.40796304075047
544,-472.72915662638843
545,-157.66517581231892
546,-81.87424723710865
547,-29.795180652057752
548,-130.5765199661255
549,-263.9529384858906
550,-260.2100894358009
551,-126.62664107978344
552,-106.72821698896587
553,-113.5433398867026
554,-138.33002017065883
555,-192.4829326979816
556,-182.99756737053394
557,-51.07506116107106
558,-80.80901042558253
559,-150.95930695533752
560,-121.71469382336363
561,-183.04478569701314
562,-51.29108899831772
563,18.859449855983257
564,-46.67863392829895
565,-97.84110181988217
566,-213.00360435526818
567,-402.72767216712236
568,-238.97611646726727
569,-76.96612008288503
570,-89.43134542088956
571,-75.78804035577923
572,-80.93223581416532
573,-98.53436723351479
574,-189.12109873443842
575,-131.17465782351792
576,-78.6842269897461
577,-207.18712607771158
578,-87.79496210371144
579,-103.08508019242436
580,-194.94834976701532
581,-175.34168151393533
582,-47.40713582758326
583,-197.54143134504557
584,-250.26126599684358
585,-249.43915887922049
586,-95.9414570601657
587,-52.856121964752674
588,-208.2948187328875
589,-136.9118105005473
590,-153.96898859739304
591,-478.6147656943649
592,-115.91742261871696
593,-206.68924552947283
594,-126.89320821501315
595,-57.321387853473425
596,-133.98065775074065
597,-189.25946474075317
598,-264.33025276625995
599,-377.189792111516
600,-161.01999317714944
601,-296.33155087172054
602,-182.4247042676434
603,-140.08833777997643
604,-79.71217176606297
605,-75.7066824734211
606,-238.107519865036
607,-55.07896094582975
608,-125.09209782630205
609,-46.35980381630361
610,-169.390065100044
611,-125.96693738177419
612,-122.4496209230274
613,-25.485789138823748
614,-148.9501899573952
615,-34.5957439634949
616,-94.77386525040492
617,-5.1721715442836285
618,-241.9568100720644
619,-244.66239136457443
620,-179.27144303405657
621,-90.07637593708932
622,-155.44094218499959
623,-216.44036184251308
624,-125.3713342808187
625,-114.92302539944649
626,-230.3578480221331
627,-249.54792735120282
628,-164.92085142069845
629,-74.11530553922057
630,-58.966479517519474
631,-161.27337964996696
632,-141.0684007005766
633,-191.61270886659622
634,-88.73955486156046
635,-74.03389145759866
636,41.12233278527856
637,-198.91366093233228
638,-93.13815463334322
639,-154.81524029001594
640,-95.33959433063865
641,-90.37623611465096
642,-4.043819953687489
643,-122.8930174857378
644,-276.5208639577031
645,-133.31089615821838
646,-77.56586286891252
647,-206.40041251294315
648,-130.05180916562676
649,-105.02278416696936
650,-94.74614691734314
651,-209.33575686439872
652,-33.088783364742994
653,44.283389791846275
654,-77.085273925215
655,-276.5527017042041
656,-136.3607973381877
657,-113.42581341369078
658,-510.11357659101486
659,-93.38080684840679
660,-156.76456734258682
661,-220.55243944749236
662,-259.907464876771
663,-193.3133639805019
664,-86.68694329634309
665,-273.4633133485913
666,-98.37250550789759
667,-159.649951338768
668,-76.65857499465346
669,-81.87707262299955
670,-144.8255715444684
671,-108.0886946246028
672,-165.78551006270573
673,-63.76680541946553
674,-43.00891783460975
675,-155.62505038175732
676,-115.45218655467033
677,-17.207062050700188
678,-37.275396443903446
679,-74.46440950315446
680,-109.91359036229551
681,-92.54056845791638
682,-42.768265038728714
683,-152.57215168653056
684,-293.263584934175
685,-140.52231620624661
686,-212.43246980011463
687,-207.08363205380738
688,-168.26706490572542
689,-183.40335507970303
690,-90.23520476464182
691,-217.40333748422563
692,-195.0761911738664
693,-91.68684686720371
694,19.892220959067345
695,-60.98228670284152
696,-84.59050706634298
697,-41.067541578784585
698,-189.50595693010837
699,-98.00547459721565
700,-75.94328013341874
701,-90.69705863296986
702,-290.66429810225964
703,-291.00088640116155
704,-55.05128941847943
705,-185.71567404270172
706,-77.9890370266512
707,-164.9370437413454
708,-126.64308789651841
709,-57.718629360198975
710,-147.1102317608893
711,-164.9100832901895
712,-133.65182042028755
713,-296.60360874421895
714,-184.78098448738456
715,-142.42480003088713
716,-27.89541631564498
717,-73.6714368481189
718,-155.62174540013075
719,-82.62441619299352
720,-63.09100941568613
721,-162.12279075663537
722,-385.7035754835233
723,-66.00569483544677
724,-3.5642919838428497
725,-112.02239831537008
726,-92.73296698462218
727,-156.49598144553602
728,-85.88903024164028
729,-100.16901863180101
730,-127.05952741578221
731,-45.6203223541379
732,-148.13119142060168
733,-136.70697949267924
734,-70.26902843639255
735,-124.9456387758255
736,-52.842822505161166
737,-95.47841878607869
738,-47.03884601406753
739,-73.35946766287088
740,-85.2522956430912
741,-123.93747845850885
742,-283.3698099721223
743,-111.50746103934944
744,-6.088693853467703
745,-71.3301321528852
746,-109.27266612026142
747,-248.91329474560916
748,-48.79307643696666
749,-113.10967429447919
750,-68.11110526509583
751,-8.851246736943722
752,-77.28346415050328
753,-243.15709061548114
754,-133.69428269192576
755,-267.1573977917433
756,-116.9148242129013
757,-174.389022231102
758,-111.54505255073309
759,-306.7261650990695
760,-84.99814743176103
761,-62.69325905200094
762,-134.98616417637095
763,-106.28352985903621
764,-380.56864037550986
765,-96.50391174573451
766,-263.95566833391786
767,-22.011146754026413
768,3.864665538072586
769,-78.34128010785207
770,-134.90111923962831
771,-35.57412697374821
772,-137.973702352494
773,-112.03972118534148
774,-92.95883445441723
775,-115.44206402444979
776,-8.943897301331162
777,-178.2049368477892
778,-227.09653727011755
779,-122.67127806507051
780,-247.50530792213976
781,-63.427649430930614
782,-66.14609483582899
783,-86.60478818044066
784,-60.27038193680346
785,-343.94592791236937
786,-217.94861909933388
787,-194.8839410636574
788,-101.97316162660718
789,-71.20468079671264
790,-168.2006471119821
791,-146.6291485959664
792,-190.889767318964
793,-173.97373179718852
794,-129.77204679884017
795,-222.94680070783943
796,-109.84021076338831
797,-159.4171165083535
798,-186.6999850347638
799,-62.906977648846805
800,-150.12859278917313
801,-90.03228792920709
802,-171.37376956641674
803,-172.28379356581718
804,-109.51776010543108
805,-155.79122992232442
806,-99.80840448103845
807,-100.1481136707589
808,-86.18580937758088
809,-28.665816560620442
810,-118.03798111714423
811,-418.9677258024458
812,-182.70560233527794
813,-159.18601797474548
814,-181.10973438061774
815,-168.880663739983
816,-176.75035687349737
817,-134.2990720323287
818,-124.82515737973154
819,-177.6608433574438
820,-270.0318672992289
821,-53.29395930748433
822,-202.52793681621552
823,-211.06294017191976
824,-72.76834452152252
825,-219.9727782830596
826,-48.44092446472496
827,-105.6089409738779
828,-44.693944841623306
829,-130.07963853294495
830,-16.451651483774185
831,-144.02660247078165
832,-117.23373131081462
833,-84.44710237160325
834,-75.98035455495119
835,-128.67391936760396
836,-130.48650867398828
837,-186.547284565866
838,0.726966854184866
839,-108.94590813992545
840,3.143901005387306
841,-90.39570273272693
842,-204.0211681947112
843,-102.45139945298433
844,-153.97941419947892
845,-69.95651329681277
846,-173.44643444241956
847,-80.1398092941381
848,-53.67849647812545
849,-308.36275012767874
850,-68.40131628513336
851,-173.40425282064825
852,-137.5335784740746
853,-116.49565937556326
854,-183.4521553069353
855,-247.80375207960606
856,-84.64995409175754
857,-23.898014150559902
858,-82.8884432464838
859,-18.35844561457634
860,-94.03038154542446
861,-115.73695427924395
862,-82.04748846590519
863,-269.85860638320446
864,-235.88424926251173
865,-181.58187593519688
866,-171.08837160561234
867,-108.7983096735552
868,-136.992426533252
869,-237.63739176094532
870,-115.55311970412731
871,-100.58511306997389
872,-179.07703215628862
873,-99.11767018400133
874,-210.8071991703473
875,-103.69823414832354
876,-103.86660251114517
877,-205.90679687075317
878,-125.79161816561827
879,-227.64595923642628
880,-24.601683009881526
881,-136.95734851807356
882,-91.58686840720475
883,-280.35206669569016
884,-108.84815279522445
885,-76.15721448021941
886,-22.71473035402596
887,-91.69998099282384
888,-6.872521009296179
889,-119.7448711246252
890,-144.3927625324577
891,-204.58964572101831
892,-52.84561024606228
893,58.21000372583512
894,-73.90354716521688
895,-127.29315202822909
896,-218.07109386473894
897,-247.50694754417054
898,-92.8018961623311
899,-216.88468536362052
900,-125.68652496486902
901,-107.71322829835117
902,-173.5755342245102
903,-93.19332837313414
904,-95.59458825550973
905,-112.51321955397725
906,-54.967017674818635
907,-224.84884906327352
908,-168.9785861610435
909,-72.81211846973747
910,-89.01085089007393
911,-182.05484306067228
912,-255.6356098111719
913,-318.087214496918
914,-76.37089457549155
915,-76.8999944144598
916,-74.33085377886891
917,-126.99957527592778
918,-56.23571169748902
919,-172.28403581492603
920,-128.3793820552528
921,-170.28695041581523
922,-126.24502192996442
923,-84.62555194809102
924,-169.22334582731128
925,-138.51008212799206
926,-141.53310610423796
927,-237.29989306628704
928,-87.71163843944669
929,-47.52548541687429
930,-185.54023791104555
931,-97.32071165181696
932,-260.20342157268897
933,-235.0594949387014
934,-64.97538763098419
935,-99.48700483515859
936,-45.896693324670196
937,-100.89933246001601
938,-97.93863632157445
939,-65.67340472526848
940,-134.0839510783553
941,-52.82706167921424
942,-86.74997736513615
943,-185.63326175510883
944,-38.91517351008952
945,-74.25693427026272
946,-170.07078362256289
947,-150.70032568834722
948,-80.39058696420398
949,-102.30383869074285
950,-168.441287974827
951,-121.19585625454783
952,-108.99423203989863
953,-164.29733368754387
954,-124.74141404777765
955,-90.14416478946805
956,-80.31791397184134
957,-145.2207098081708
958,-177.66100667789578
959,-102.96209485828876
960,-52.61847206950188
961,-271.85170582216233
962,-114.86482157337014
963,-130.90678083896637
964,-238.02691516652703
965,-116.10775977093726
966,-105.49611059576273
967,-171.2960359827557
968,-121.21555741131306
969,-140.41756764799356
970,-156.55663900775835
971,-161.65620704647154
972,-96.61744967717095
973,-95.72441237419844
974,-90.89267330057919
975,-114.35386717366055
976,-57.471289889421314
977,-53.114810924977064
978,-0.11283442005515099
979,-219.46864625811577
980,-68.32500987127423
981,-68.26747185736895
982,-16.87340857833624
983,-74.30002985522151
984,-68.4363379990682
985,-96.03738215565681
986,-97.93688586167991
987,-261.6219046935439
988,-88.36979865282774
989,-274.90093911773874
990,-146.1842870041728
991,-163.93012668122537
992,-37.29542728001252
993,-69.66706832870841
994,-133.2853769622743
995,-80.27161450078711
996,-46.219527679961175
997,-76.69996374845505
998,-16.036472737789154
999,-73.41773088090122
1000,-157.64872192963958
1001,-201.47203703410923
1002,-290.0503997839987
1003,-103.40033948421478
1004,-90.46807661559433
1005,-94.24253239482641
1006,-142.86242295056581
1007,-94.31433827942237
1008,-142.01082026213408
1009,-40.26254212111235
1010,0.01531808078289032
1011,-99.44255128817167
1012,-80.38154149614275
1013,-142.3874418642372
1014,-111.94390854495578
1015,-131.73223433736712
1016,-128.23863881640136
1017,-244.14202316477895
1018,-110.94263458997011
1019,-97.27332321554422
1020,-74.05413005128503
1021,-77.17707447707653
1022,-136.07793719507754
1023,-88.75247986614704
1024,-139.23731120419689
1025,92.99974083632696
1026,2.1344776190817356
1027,-57.82331046741456
1028,-12.451597097329795
1029,-76.87660225946456
1030,-146.99539396481123
1031,16.8675798419863
1032,-117.08716879924759
1033,-138.75674910470843
1034,-150.83098595403135
1035,-83.99502075021155
1036,-71.14419873803854
1037,-56.25353139266372
1038,-113.76496348390356
1039,-183.0838069487363
1040,-67.7974190833047
1041,-218.0831025019288
1042,-59.482572289183736
1043,-103.31585269980133
1044,-63.926690101623535
1045,-134.9967533228919
1046,-150.68672697618604
1047,-111.54015094786882
1048,-16.250851698219776
1049,-126.88262960645079
1050,-139.64444240182638
1051,-136.7914414750412
1052,-101.53797649871558
1053,-123.14734352566302
1054,-158.7833237517625
1055,-154.94135579187423
1056,-159.89191437512636
1057,-133.27724297065288
1058,-27.544201724231243
1059,-161.76250659348443
1060,39.583313612267375
1061,-43.426047652959824
1062,-126.93561183009297
1063,-76.66578001528978
1064,-291.7647994607687
1065,-104.29527289466932
1066,-175.67670414131135
1067,-121.38187966868281
1068,-176.23717497382313
1069,-282.83478792139795
1070,-109.27630452811718
1071,-177.8254407439381
1072,-205.22912030783482
1073,-86.51782649662346
1074,-68.97491253912449
1075,12.50778053700924
1076,-85.07543418556452
1077,-205.55100812995806
1078,-106.43034761026502
1079,-50.797575844451785
1080,-200.64554639346898
1081,-47.86108314990997
1082,-131.03157996176742
1083,-82.70582669600844
1084,-116.12775311525911
1085,-169.95658861659467
1086,-18.4337396658957
1087,-112.13056624541059
1088,-106.02882100641727
1089,-172.90828574704938
1090,-129.55299298465252
1091,-85.50490856275428
1092,-12.139270305633545
1093,-107.98148541897535
1094,-113.83295616693795
1095,-86.79035564686637
1096,-103.84076916240156
1097,-123.28593065659516
1098,-68.83170334994793
1099,-82.28053253516555
1100,-76.12751568108797
1101,-91.05917996168137
1102,-138.00158549449407
1103,-30.411626636981964
1104,-214.96139422198758
1105,-79.39988028351218
1106,-109.49653458222747
1107,-101.18671216070652
1108,-143.285001270473
1109,-18.11047970224172
1110,-136.3604243672453
1111,-117.70474191196263
1112,-59.919100436381996
1113,-165.65066127106547
1114,-172.68722381070256
1115,-230.86016972362995
1116,-41.04817512258887
1117,-86.77065829187632
1118,-148.6711289411178
1119,-135.51577556598932
1120,-70.76171888411045
1121,-90.76471808436327
1122,-167.31592092104256
1123,-190.40771570056677
1124,-93.5414737071842
1125,-95.99375315755606
1126,-106.53227446728852
1127,-114.73141740914434
1128,-148.9374904409051
1129,-107.10678374418058
1130,-91.46543930843472
1131,-86.29315719008446
1132,-113.6223541367799
1133,-99.6567484177649
1134,-130.43245012126863
1135,-99.0407349979505
1136,-111.48114085849375
1137,-220.26285146549344
1138,-153.464433954563
1139,111.88007918866788
1140,-83.2178082591854
1141,-155.03258588712197
1142,-153.2855291813612
1143,-9.676620945334435
1144,-124.84582553990185
1145,-342.31867149844766
1146,-135.85837389249355
1147,-119.88652633875608
1148,-73.6563111115247
1149,-89.85695225177915
1150,-126.17367722513154
1151,-61.07004873454571
1152,-15.749788801185787
1153,-106.48316475749016
1154,-121.82696947921067
1155,-146.40948637202382
1156,-213.57004095427692
1157,-226.15797958523035
1158,-66.74209365993738
1159,-29.703452445566654
1160,-261.8585045207292
1161,-160.81421741330996
1162,-161.06324960291386
1163,-26.311102494597435
1164,-61.59006202220917
1165,2.8447349667549133
1166,-28.889639113098383
1167,-122.52472071349621
1168,-63.62141621904448
1169,-98.77088612969965
1170,-84.2093616463244
1171,-49.36319267377257
1172,-45.78413250297308
1173,-74.87520106695592
1174,-38.45445844531059
1175,-146.70529830129817
1176,-46.56447736918926
1177,-187.12888056598604
1178,-106.60435020923615
1179,-330.99778783810325
1180,-108.79114489257336
1181,-62.20289257913828
1182,21.881304658949375
1183,-91.3682615980506
1184,-83.5380106754601
1185,-87.49955775309354
1186,-181.37783717829734
1187,-121.66766251437366
1188,-86.66179161891341
1189,-18.94423011969775
1190,-106.97448591375723
1191,-219.1123072244227
1192,-112.89733329415321
1193,-27.960375735536218
1194,-284.78363561443985
1195,-52.28529559634626
1196,-92.33590208739042
1197,-227.54110611090437
1198,-153.79617918888107
1199,-60.573069664649665
1200,-109.26233645156026
1201,-96.79074284713715
1202,-44.56749781221151
1203,-38.961299553047866
1204,-123.93629854172468
1205,-70.02329694852233
1206,6.622302661649883
1207,-58.66078391112387
1208,-97.06996219418943
1209,-25.97293534129858
1210,-109.03433464467525
1211,-247.3813508823514
1212,-98.3948497325182
1213,-47.78011988848448
1214,-113.48103986727074
1215,-109.64905875176191
1216,25.406510663218796
1217,-279.3554968647659
1218,-37.14316761493683
1219,-256.3976504690945
1220,40.370942356064916
1221,-69.15025605075061
1222,-45.0494464635849
1223,-98.68915870878845
1224,-143.28284404054284
1225,-131.85696650273167
1226,-140.9692962653935
1227,-203.49455100297928
1228,-134.44415973860305
1229,-159.3541831113398
1230,-89.40338663756847
1231,-156.09084695577621
1232,5.448613406158984
1233,-77.52041499689221
1234,-327.7540176510811
1235,-141.63881160132587
1236,-54.5868507437408
1237,-116.38514420378488
1238,-13.624987004324794
1239,-27.233441894873977
1240,-104.78769996762276
1241,-111.71754509955645
1242,-55.53602763265371
1243,-35.55702047049999
1244,-300.0954158225504
1245,-226.55272059538402
1246,-88.77534493478015
1247,-84.93790710438043
1248,-82.87440721783787
1249,-46.181263187900186
1250,-115.40138876973651
