total_rewards,mean_rewards,total_lengths,mean_lengths,epsilons
609.0,609.0,67.0,67.0,0.7243625684724158
599.0,604.0,73.0,70.0,0.7243425538715038
648.0,618.6666666666666,76.0,72.0,0.7243325467784298
789.0,661.25,79.0,73.75,0.7243225398236081
665.0,662.0,79.0,74.8,0.7243225398236081
667.0,662.8333333333334,79.0,75.5,0.7243225398236081
840.0,688.1428571428571,88.0,77.28571428571429,0.7242925197886364
680.0,687.125,90.0,78.875,0.7242858488387212
860.0,706.3333333333334,92.0,80.33333333333333,0.7242791779502474
895.0,725.2,93.0,81.6,0.7242758425290509
1022.0,752.1818181818181,96.0,82.9090909090909,0.7242658363576218
1022.0,774.6666666666666,96.0,84.0,0.7242658363576218
790.0,775.8461538461538,98.0,85.07692307692308,0.7242591656534688
1200.0,806.1428571428571,100.0,86.14285714285714,0.7242524950107551
1200.0,832.4,100.0,87.06666666666666,0.7242524950107551
1027.0,844.5625,103.0,88.0625,0.7242424891618817
775.0,840.4705882352941,103.0,88.94117647058823,0.7242424891618817
1145.0,857.3888888888889,103.0,89.72222222222223,0.7242424891618817
1191.0,874.9473684210526,105.0,90.52631578947368,0.7242358186727634
983.0,880.35,105.0,91.25,0.7242358186727634
1185.0,894.8571428571429,107.0,92.0,0.7242291482450823
1172.0,907.4545454545455,108.0,92.72727272727273,0.7242258130542806
1274.0,923.3913043478261,108.0,93.3913043478261,0.7242258130542806
964.0,925.0833333333334,108.0,94.0,0.7242258130542806
1225.0,937.08,109.0,94.6,0.7242224778788379
1064.0,941.9615384615385,110.0,95.1923076923077,0.7242191427187542
992.0,943.8148148148148,110.0,95.74074074074075,0.7242191427187542
1006.0,946.0357142857143,110.0,96.25,0.7242191427187542
1256.0,956.7241379310345,110.0,96.72413793103448,0.7242191427187542
1115.0,962.0,113.0,97.26666666666667,0.7242091373306565
1018.0,963.8064516129032,114.0,97.80645161290323,0.7242058022320081
1218.0,971.75,116.0,98.375,0.7241991320807875
1158.0,977.3939393939394,116.0,98.9090909090909,0.7241991320807875
1143.0,982.2647058823529,121.0,99.55882352941177,0.7241824569715086
1131.0,986.5142857142857,121.0,100.17142857142858,0.7241824569715086
1066.0,988.7222222222222,122.0,100.77777777777777,0.7241791219957276
1466.0,1001.6216216216217,124.0,101.4054054054054,0.7241724520902398
1272.0,1008.7368421052631,126.0,102.05263157894737,0.7241657822461839
1518.0,1021.7948717948718,126.0,102.66666666666667,0.7241657822461839
1218.0,1026.7,126.0,103.25,0.7241657822461839
1237.0,1031.8292682926829,127.0,103.82926829268293,0.7241624473471927
1253.0,1037.095238095238,129.0,104.42857142857143,0.7241557775952834
1745.0,1053.5581395348838,131.0,105.04651162790698,0.7241491079048045
1413.0,1061.7272727272727,131.0,105.63636363636364,0.7241491079048045
1306.0,1067.1555555555556,132.0,106.22222222222223,0.7241457730826012
1429.0,1075.0217391304348,133.0,106.80434782608695,0.7241424382757553
1307.0,1079.9574468085107,133.0,107.36170212765957,0.7241424382757553
1326.0,1085.0833333333333,134.0,107.91666666666667,0.7241391034842668
1231.0,1088.061224489796,135.0,108.46938775510205,0.7241357687081356
1465.0,1095.6,135.0,109.0,0.7241357687081356
1643.0,1106.3333333333333,135.0,109.50980392156863,0.7241357687081356
1663.0,1117.0384615384614,137.0,110.03846153846153,0.7241290992019445
