,epsilons
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,0.998542107948888
16,0.998451061012922
17,0.9983600224625823
18,0.9982689922970963
19,0.9981779705156918
20,0.9980869571175969
21,0.997995952102039
22,0.9979049554682464
23,0.9978139672154469
24,0.9977229873428688
25,0.9976320158497402
26,0.9975410527352891
27,0.9974500979987441
28,0.9973591516393335
29,0.9972682136562857
30,0.9971772840488292
31,0.9970863628161927
32,0.9969954499576049
33,0.9969045454722942
34,0.9968136493594898
35,0.9967227616184203
36,0.9966318822483148
37,0.9965410112484021
38,0.9964501486179117
39,0.9963592943560723
40,0.9962684484621134
41,0.9961776109352642
42,0.9960867817747542
43,0.9959959609798127
44,0.9959051485496692
45,0.9958143444835533
46,0.9957235487806948
47,0.9956327614403232
48,0.9955419824616685
49,0.9954512118439606
50,0.9953604495864291
51,0.9952696956883043
52,0.9951789501488163
53,0.995088212967195
54,0.9949974841426709
55,0.9949067636744742
56,0.9948160515618351
57,0.9947253478039841
58,0.994634652400152
59,0.9945439653495691
60,0.9944532866514662
61,0.9943626163050736
62,0.9942719543096227
63,0.994181300664344
64,0.9940906553684684
65,0.9940000184212271
66,0.9939093898218511
67,0.9938187695695715
68,0.9937281576636193
69,0.9936375541032263
70,0.9935469588876233
71,0.9934563720160422
72,0.9933657934877144
73,0.9932752233018711
74,0.9931846614577443
75,0.9930941079545655
76,0.9930035627915669
77,0.9929130259679798
78,0.9928224974830364
79,0.9927319773359686
80,0.9926414655260085
81,0.9925509620523884
82,0.9924604669143402
83,0.9923699801110963
84,0.9922795016418892
85,0.9921890315059512
86,0.9920985697025146
87,0.9920081162308123
88,0.9919176710900768
89,0.9918272342795406
90,0.9917368057984367
91,0.9916463856459979
92,0.991555973821457
93,0.9914655703240473
94,0.9913751751530013
95,0.9912847883075526
96,0.9911944097869343
97,0.9911040395903795
98,0.9910136777171217
99,0.9909233241663942
100,0.9908329789374305
101,0.9907426420294643
102,0.990652313441729
103,0.9905619931734583
104,0.9904716812238862
105,0.9903813775922462
106,0.9902910822777723
107,0.9902007952796987
108,0.9901105165972592
109,0.9900202462296881
110,0.9899299841762192
111,0.9898397304360873
112,0.9897494850085263
113,0.9896592478927707
114,0.9895690190880552
115,0.9894787985936139
116,0.9893885864086817
117,0.9892983825324932
118,0.9892081869642831
119,0.9891179997032865
120,0.989027820748738
